 # Cycle    Energy/N    Magnetization/N
         856  -1.36000001      0.779999971    
         858  -1.63999999      0.860000014    
         860  -1.67999995      0.899999976    
         862  -1.48000002      0.819999993    
         864  -1.44000006      0.839999974    
         866  -1.55999994      0.860000014    
         868  -1.67999995      0.920000017    
         870  -1.79999995      0.939999998    
         872  -1.75999999      0.920000017    
         874  -1.72000003      0.879999995    
         876  -1.48000002      0.800000012    
         878  -1.32000005      0.779999971    
         880  -1.24000001      0.740000010    
         882  -1.60000002      0.879999995    
         884  -1.79999995      0.939999998    
         886  -1.72000003      0.899999976    
         888  -1.63999999      0.899999976    
         890  -1.60000002      0.879999995    
         892  -1.55999994      0.800000012    
         894  -1.39999998      0.680000007    
         896  -1.72000003      0.899999976    
         898  -1.67999995      0.899999976    
         900  -1.79999995      0.939999998    
         902  -1.84000003      0.959999979    
         904  -1.79999995      0.939999998    
         906  -1.60000002      0.839999974    
         908  -1.60000002      0.879999995    
         910  -1.72000003      0.920000017    
         912  -1.67999995      0.899999976    
         914  -1.88000000      0.959999979    
         916  -1.67999995      0.899999976    
         918  -1.60000002      0.860000014    
         920  -1.84000003      0.959999979    
         922  -1.91999996      0.980000019    
         924  -1.84000003      0.959999979    
         926  -1.63999999      0.860000014    
         928  -1.91999996      0.980000019    
         930  -1.75999999      0.920000017    
         932  -1.72000003      0.920000017    
         934  -1.84000003      0.959999979    
         936  -1.75999999      0.920000017    
         938  -1.88000000      0.959999979    
         940  -1.63999999      0.879999995    
         942  -1.91999996      0.980000019    
         944  -1.67999995      0.920000017    
         946  -1.72000003      0.899999976    
         948  -2.00000000       1.00000000    
         950  -1.91999996      0.980000019    
         952  -1.79999995      0.939999998    
         954  -1.88000000      0.959999979    
         956  -1.75999999      0.899999976    
         958  -1.60000002      0.879999995    
         960  -1.91999996      0.980000019    
         962  -1.51999998      0.839999974    
         964  -1.60000002      0.879999995    
         966  -1.79999995      0.939999998    
         968  -1.79999995      0.939999998    
         970  -1.84000003      0.959999979    
         972  -1.75999999      0.939999998    
         974  -1.91999996      0.980000019    
         976  -1.60000002      0.879999995    
         978  -1.67999995      0.879999995    
         980  -1.91999996      0.980000019    
         982  -1.84000003      0.959999979    
         984  -1.84000003      0.959999979    
         986  -1.67999995      0.899999976    
         988  -1.84000003      0.959999979    
         990  -1.84000003      0.959999979    
         992  -1.67999995      0.879999995    
         994  -1.75999999      0.939999998    
         996  -1.67999995      0.920000017    
         998  -1.51999998      0.860000014    
        1000  -1.79999995      0.920000017    
        1002  -1.67999995      0.879999995    
        1004  -1.67999995      0.899999976    
        1006  -1.67999995      0.920000017    
        1008  -1.51999998      0.839999974    
        1010  -1.63999999      0.879999995    
        1012  -1.63999999      0.899999976    
        1014  -1.79999995      0.939999998    
        1016  -1.72000003      0.899999976    
        1018  -1.48000002      0.839999974    
        1020  -1.84000003      0.959999979    
        1022  -1.75999999      0.939999998    
        1024  -1.60000002      0.879999995    
        1026  -1.60000002      0.839999974    
        1028  -1.84000003      0.939999998    
        1030  -1.55999994      0.879999995    
        1032  -1.79999995      0.939999998    
        1034  -1.72000003      0.920000017    
        1036  -1.75999999      0.939999998    
        1038  -1.63999999      0.860000014    
        1040  -1.63999999      0.899999976    
        1042  -1.55999994      0.800000012    
        1044  -1.72000003      0.920000017    
        1046  -1.67999995      0.920000017    
        1048  -1.84000003      0.959999979    
        1050  -1.84000003      0.939999998    
        1052  -1.84000003      0.939999998    
        1054  -1.60000002      0.879999995    
        1056  -2.00000000       1.00000000    
        1058  -1.91999996      0.980000019    
        1060  -1.79999995      0.939999998    
        1062  -1.84000003      0.959999979    
        1064  -2.00000000       1.00000000    
        1066  -1.67999995      0.920000017    
        1068  -1.91999996      0.980000019    
        1070  -1.72000003      0.920000017    
        1072  -1.75999999      0.939999998    
        1074  -1.84000003      0.959999979    
        1076  -1.91999996      0.980000019    
        1078  -1.75999999      0.939999998    
        1080  -1.91999996      0.980000019    
        1082  -1.84000003      0.959999979    
        1084  -2.00000000       1.00000000    
        1086  -1.88000000      0.959999979    
        1088  -1.79999995      0.939999998    
        1090  -1.60000002      0.779999971    
        1092  -1.36000001      0.740000010    
        1094  -1.60000002      0.839999974    
        1096  -1.75999999      0.860000014    
        1098  -1.60000002      0.819999993    
        1100  -1.60000002      0.819999993    
        1102  -1.67999995      0.920000017    
        1104  -1.63999999      0.879999995    
        1106  -1.91999996      0.980000019    
        1108  -1.75999999      0.939999998    
        1110  -1.72000003      0.920000017    
        1112  -1.91999996      0.980000019    
        1114  -1.84000003      0.959999979    
        1116  -1.75999999      0.879999995    
        1118  -1.84000003      0.959999979    
        1120  -1.79999995      0.939999998    
        1122  -1.79999995      0.920000017    
        1124  -1.72000003      0.920000017    
        1126  -1.63999999      0.860000014    
        1128  -1.63999999      0.879999995    
        1130  -1.51999998      0.800000012    
        1132  -1.84000003      0.959999979    
        1134  -1.75999999      0.939999998    
        1136  -1.84000003      0.959999979    
        1138  -1.60000002      0.779999971    
        1140  -1.75999999      0.939999998    
        1142  -1.91999996      0.980000019    
        1144  -1.72000003      0.920000017    
        1146  -1.84000003      0.959999979    
        1148  -1.72000003      0.920000017    
        1150  -1.51999998      0.860000014    
        1152  -1.72000003      0.920000017    
        1154  -1.63999999      0.899999976    
        1156  -1.88000000      0.959999979    
        1158  -1.75999999      0.920000017    
        1160  -1.67999995      0.920000017    
        1162  -1.44000006      0.819999993    
        1164  -1.48000002      0.839999974    
        1166  -1.63999999      0.860000014    
        1168  -1.72000003      0.920000017    
        1170  -1.84000003      0.959999979    
        1172  -1.75999999      0.860000014    
        1174  -1.67999995      0.839999974    
        1176  -1.88000000      0.959999979    
        1178  -1.60000002      0.879999995    
        1180  -1.75999999      0.939999998    
        1182  -1.67999995      0.920000017    
        1184  -1.67999995      0.899999976    
        1186  -1.60000002      0.839999974    
        1188  -1.39999998      0.779999971    
        1190  -1.55999994      0.819999993    
        1192  -1.55999994      0.839999974    
        1194  -1.51999998      0.819999993    
        1196  -1.20000005      0.680000007    
        1198  -1.44000006      0.779999971    
        1200  -1.63999999      0.860000014    
        1202  -1.84000003      0.959999979    
        1204  -2.00000000       1.00000000    
        1206  -1.79999995      0.939999998    
        1208  -1.72000003      0.920000017    
        1210  -1.75999999      0.939999998    
        1212  -1.84000003      0.959999979    
        1214  -1.75999999      0.939999998    
        1216  -1.84000003      0.959999979    
        1218  -1.55999994      0.839999974    
        1220  -1.75999999      0.939999998    
        1222  -1.48000002      0.779999971    
        1224  -1.48000002      0.779999971    
        1226  -1.48000002      0.860000014    
        1228  -1.51999998      0.860000014    
        1230  -1.75999999      0.939999998    
        1232  -1.55999994      0.819999993    
        1234  -1.79999995      0.939999998    
        1236  -2.00000000       1.00000000    
        1238  -1.63999999      0.879999995    
        1240  -1.55999994      0.879999995    
        1242  -1.84000003      0.959999979    
        1244  -1.36000001      0.779999971    
        1246  -1.63999999      0.879999995    
        1248  -1.79999995      0.939999998    
        1250  -1.84000003      0.939999998    
        1252  -1.60000002      0.879999995    
        1254  -1.84000003      0.959999979    
        1256  -1.72000003      0.899999976    
        1258  -1.84000003      0.959999979    
        1260  -1.72000003      0.920000017    
        1262  -1.63999999      0.899999976    
        1264  -1.72000003      0.899999976    
        1266  -1.91999996      0.980000019    
        1268  -1.79999995      0.939999998    
        1270  -1.84000003      0.959999979    
        1272  -1.72000003      0.899999976    
        1274  -1.75999999      0.939999998    
        1276  -1.55999994      0.879999995    
        1278  -1.72000003      0.920000017    
        1280  -1.55999994      0.800000012    
        1282  -1.75999999      0.920000017    
        1284  -1.67999995      0.899999976    
        1286  -1.44000006      0.800000012    
        1288  -1.48000002      0.819999993    
        1290  -1.60000002      0.819999993    
        1292  -1.36000001      0.800000012    
        1294  -1.79999995      0.939999998    
        1296  -1.88000000      0.959999979    
        1298  -1.91999996      0.980000019    
        1300  -1.91999996      0.980000019    
        1302  -1.67999995      0.899999976    
        1304  -1.60000002      0.839999974    
        1306  -1.51999998      0.800000012    
        1308  -1.51999998      0.860000014    
        1310  -1.51999998      0.860000014    
        1312  -1.79999995      0.939999998    
        1314  -1.55999994      0.879999995    
        1316  -1.72000003      0.920000017    
        1318  -1.75999999      0.939999998    
        1320  -1.72000003      0.899999976    
        1322  -1.55999994      0.839999974    
        1324  -1.72000003      0.899999976    
        1326  -1.84000003      0.959999979    
        1328  -1.75999999      0.939999998    
        1330  -1.84000003      0.959999979    
        1332  -1.84000003      0.939999998    
        1334  -1.63999999      0.899999976    
        1336  -1.55999994      0.879999995    
        1338  -1.51999998      0.779999971    
        1340  -1.39999998      0.639999986    
        1342  -1.36000001      0.680000007    
        1344  -1.27999997      0.720000029    
        1346  -1.39999998      0.839999974    
        1348  -1.91999996      0.980000019    
        1350  -1.91999996      0.980000019    
        1352  -1.63999999      0.899999976    
        1354  -1.60000002      0.879999995    
        1356  -1.75999999      0.920000017    
        1358  -1.72000003      0.920000017    
        1360  -1.75999999      0.939999998    
        1362  -1.67999995      0.920000017    
        1364  -1.60000002      0.879999995    
        1366  -1.67999995      0.899999976    
        1368  -1.84000003      0.959999979    
        1370  -1.84000003      0.959999979    
        1372  -1.79999995      0.939999998    
        1374  -1.75999999      0.939999998    
        1376  -1.51999998      0.839999974    
        1378  -1.63999999      0.899999976    
        1380  -1.91999996      0.980000019    
        1382  -1.67999995      0.899999976    
        1384  -1.67999995      0.899999976    
        1386  -1.84000003      0.959999979    
