 # Cycle    Energy/N    Magnetization/N
         536  -1.51999998     -0.879999995    
         538  -1.79999995     -0.939999998    
         540  -1.72000003     -0.899999976    
         542  -1.91999996     -0.980000019    
         544  -1.91999996     -0.980000019    
         546  -1.91999996     -0.980000019    
         548  -1.75999999     -0.939999998    
         550  -1.75999999     -0.939999998    
         552  -1.84000003     -0.959999979    
         554  -1.91999996     -0.980000019    
         556  -1.91999996     -0.980000019    
         558  -1.91999996     -0.980000019    
         560  -1.84000003     -0.959999979    
         562  -1.84000003     -0.959999979    
         564  -1.72000003     -0.920000017    
         566  -1.84000003     -0.959999979    
         568  -1.60000002     -0.879999995    
         570  -1.44000006     -0.819999993    
         572  -1.36000001     -0.779999971    
         574  -1.44000006     -0.839999974    
         576  -1.79999995     -0.939999998    
         578  -1.67999995     -0.879999995    
         580  -1.48000002     -0.800000012    
         582  -1.79999995     -0.939999998    
         584  -1.67999995     -0.879999995    
         586  -1.72000003     -0.920000017    
         588  -1.72000003     -0.920000017    
         590  -1.72000003     -0.920000017    
         592  -1.84000003     -0.959999979    
         594  -1.91999996     -0.980000019    
         596  -1.63999999     -0.899999976    
         598  -1.51999998     -0.740000010    
         600  -1.72000003     -0.899999976    
         602  -2.00000000      -1.00000000    
         604  -1.75999999     -0.939999998    
         606  -1.84000003     -0.959999979    
         608  -1.72000003     -0.899999976    
         610  -1.91999996     -0.980000019    
         612  -1.79999995     -0.939999998    
         614  -1.88000000     -0.959999979    
         616  -1.63999999     -0.860000014    
         618  -1.79999995     -0.939999998    
         620  -1.75999999     -0.939999998    
         622  -1.91999996     -0.980000019    
         624  -2.00000000      -1.00000000    
         626  -1.91999996     -0.980000019    
         628  -1.67999995     -0.920000017    
         630  -1.67999995     -0.879999995    
         632  -1.63999999     -0.819999993    
         634  -1.72000003     -0.920000017    
         636  -1.91999996     -0.980000019    
         638  -1.84000003     -0.959999979    
         640  -2.00000000      -1.00000000    
         642  -1.91999996     -0.980000019    
         644  -1.75999999     -0.939999998    
         646  -1.72000003     -0.920000017    
         648  -1.63999999     -0.839999974    
         650  -1.55999994     -0.860000014    
         652  -1.67999995     -0.899999976    
         654  -1.91999996     -0.980000019    
         656  -1.75999999     -0.939999998    
         658  -1.44000006     -0.720000029    
         660  -1.20000005     -0.579999983    
         662  -1.32000005     -0.560000002    
         664  -1.15999997     -0.500000000    
         666  -1.36000001     -0.519999981    
         668  -1.48000002     -0.720000029    
         670  -1.48000002     -0.740000010    
         672  -1.24000001     -0.660000026    
         674  -1.48000002     -0.839999974    
         676  -1.03999996     -0.540000021    
         678  -1.60000002     -0.879999995    
         680  -1.84000003     -0.959999979    
         682  -1.63999999     -0.899999976    
         684  -1.79999995     -0.939999998    
         686  -1.84000003     -0.959999979    
         688  -1.48000002     -0.860000014    
         690  -1.63999999     -0.899999976    
         692  -1.72000003     -0.920000017    
         694  -2.00000000      -1.00000000    
         696  -1.67999995     -0.920000017    
         698  -1.67999995     -0.899999976    
         700  -1.67999995     -0.899999976    
         702  -1.39999998     -0.759999990    
         704  -1.48000002     -0.680000007    
         706  -1.60000002     -0.800000012    
         708  -1.63999999     -0.740000010    
         710  -1.55999994     -0.819999993    
         712  -1.63999999     -0.899999976    
         714  -1.84000003     -0.959999979    
         716  -1.91999996     -0.980000019    
         718  -2.00000000      -1.00000000    
         720  -2.00000000      -1.00000000    
         722  -2.00000000      -1.00000000    
         724  -1.91999996     -0.980000019    
         726  -1.84000003     -0.959999979    
         728  -1.79999995     -0.920000017    
         730  -1.48000002     -0.819999993    
         732  -1.67999995     -0.899999976    
         734  -1.51999998     -0.839999974    
         736  -1.60000002     -0.839999974    
         738  -1.75999999     -0.939999998    
         740  -1.51999998     -0.819999993    
         742  -1.48000002     -0.800000012    
         744  -1.67999995     -0.860000014    
         746  -1.24000001     -0.740000010    
         748  -1.39999998     -0.800000012    
         750  -1.75999999     -0.920000017    
         752  -1.84000003     -0.959999979    
         754  -1.72000003     -0.920000017    
         756  -1.63999999     -0.879999995    
         758  -1.48000002     -0.800000012    
         760  -1.39999998     -0.740000010    
         762  -1.72000003     -0.920000017    
         764  -1.79999995     -0.939999998    
         766  -1.63999999     -0.879999995    
         768  -1.60000002     -0.860000014    
         770  -1.48000002     -0.819999993    
         772  -1.36000001     -0.800000012    
         774  -1.15999997     -0.680000007    
         776  -1.15999997     -0.680000007    
         778  -1.36000001     -0.740000010    
         780  -1.36000001     -0.779999971    
         782  -1.67999995     -0.860000014    
         784  -1.72000003     -0.920000017    
         786  -1.91999996     -0.980000019    
         788  -1.72000003     -0.879999995    
         790  -1.67999995     -0.899999976    
         792  -1.72000003     -0.879999995    
         794  -1.72000003     -0.920000017    
         796  -1.88000000     -0.959999979    
         798  -1.72000003     -0.920000017    
         800  -1.79999995     -0.939999998    
         802  -1.63999999     -0.899999976    
         804  -1.63999999     -0.899999976    
         806  -1.84000003     -0.959999979    
         808  -1.67999995     -0.899999976    
         810  -1.75999999     -0.939999998    
         812  -1.84000003     -0.959999979    
         814  -1.75999999     -0.920000017    
         816  -1.60000002     -0.839999974    
         818  -1.84000003     -0.959999979    
         820  -1.79999995     -0.939999998    
         822  -1.55999994     -0.879999995    
         824  -1.67999995     -0.879999995    
         826  -1.72000003     -0.899999976    
         828  -1.44000006     -0.839999974    
         830  -1.67999995     -0.920000017    
         832  -2.00000000      -1.00000000    
         834  -1.79999995     -0.939999998    
         836  -1.67999995     -0.899999976    
         838  -1.75999999     -0.939999998    
         840  -1.79999995     -0.939999998    
         842  -1.91999996     -0.980000019    
         844  -1.75999999     -0.939999998    
         846  -2.00000000      -1.00000000    
         848  -1.88000000     -0.959999979    
         850  -1.60000002     -0.860000014    
         852  -1.32000005     -0.800000012    
         854  -1.63999999     -0.879999995    
         856  -1.72000003     -0.899999976    
         858  -1.60000002     -0.879999995    
         860  -1.72000003     -0.920000017    
         862  -1.60000002     -0.879999995    
         864  -1.91999996     -0.980000019    
         866  -1.67999995     -0.899999976    
         868  -1.44000006     -0.800000012    
         870  -1.36000001     -0.759999990    
         872  -1.39999998     -0.759999990    
         874  -1.44000006     -0.800000012    
         876  -1.60000002     -0.879999995    
         878  -1.55999994     -0.879999995    
         880  -1.84000003     -0.939999998    
         882  -1.84000003     -0.959999979    
         884  -1.75999999     -0.860000014    
         886  -1.75999999     -0.899999976    
         888  -1.75999999     -0.939999998    
         890  -1.84000003     -0.959999979    
         892  -2.00000000      -1.00000000    
         894  -1.91999996     -0.980000019    
         896  -1.75999999     -0.939999998    
         898  -1.84000003     -0.959999979    
         900  -1.84000003     -0.959999979    
         902  -1.72000003     -0.920000017    
         904  -1.91999996     -0.980000019    
         906  -1.79999995     -0.939999998    
         908  -1.72000003     -0.920000017    
         910  -1.27999997     -0.699999988    
         912  -1.55999994     -0.839999974    
         914  -1.84000003     -0.959999979    
         916  -1.60000002     -0.899999976    
         918  -1.44000006     -0.759999990    
         920  -1.55999994     -0.839999974    
         922  -1.72000003     -0.920000017    
         924  -1.72000003     -0.839999974    
         926  -1.72000003     -0.920000017    
         928  -1.51999998     -0.800000012    
         930  -1.75999999     -0.920000017    
         932  -1.51999998     -0.819999993    
         934  -1.39999998     -0.680000007    
         936  -1.27999997     -0.699999988    
         938  -1.36000001     -0.759999990    
         940  -1.48000002     -0.819999993    
         942  -1.67999995     -0.879999995    
         944  -1.79999995     -0.920000017    
         946  -1.79999995     -0.939999998    
         948  -1.63999999     -0.879999995    
         950  -1.48000002     -0.839999974    
         952  -1.91999996     -0.980000019    
         954  -1.72000003     -0.920000017    
         956  -1.75999999     -0.920000017    
         958  -1.72000003     -0.920000017    
         960  -1.67999995     -0.920000017    
         962  -1.79999995     -0.939999998    
         964  -1.91999996     -0.980000019    
         966  -2.00000000      -1.00000000    
         968  -1.36000001     -0.720000029    
         970  -1.20000005     -0.740000010    
         972  -1.24000001     -0.540000021    
         974  -1.12000000     -0.319999993    
         976  -1.20000005     -0.140000001    
         978  -1.00000000     -0.379999995    
         980  -1.48000002     -0.560000002    
         982 -0.959999979     -0.259999990    
         984  -1.03999996      0.119999997    
         986  -1.20000005     -0.200000003    
         988  -1.15999997      -1.99999996E-02
         990 -0.959999979       0.00000000    
         992  -1.03999996     -0.319999993    
         994  -1.24000001     -0.400000006    
         996  -1.08000004     -0.360000014    
         998  -1.15999997     -0.540000021    
        1000  -1.39999998     -0.660000026    
        1002  -1.36000001     -0.620000005    
        1004  -1.24000001     -0.639999986    
        1006  -1.20000005     -0.620000005    
        1008  -1.39999998     -0.660000026    
        1010  -1.51999998     -0.779999971    
        1012  -1.67999995     -0.899999976    
        1014  -1.67999995     -0.920000017    
        1016  -1.79999995     -0.939999998    
        1018  -1.44000006     -0.819999993    
        1020  -1.51999998     -0.860000014    
        1022  -1.55999994     -0.819999993    
        1024  -1.48000002     -0.620000005    
        1026  -1.39999998     -0.740000010    
        1028  -1.51999998     -0.819999993    
        1030  -1.75999999     -0.939999998    
        1032  -1.63999999     -0.899999976    
        1034  -2.00000000      -1.00000000    
        1036  -1.91999996     -0.980000019    
        1038  -1.75999999     -0.939999998    
        1040  -1.75999999     -0.939999998    
        1042  -1.91999996     -0.980000019    
        1044  -1.63999999     -0.879999995    
        1046  -1.39999998     -0.779999971    
        1048  -1.44000006     -0.800000012    
        1050  -1.55999994     -0.860000014    
        1052  -1.51999998     -0.819999993    
        1054  -1.48000002     -0.860000014    
        1056  -1.72000003     -0.920000017    
        1058  -1.44000006     -0.819999993    
        1060  -1.51999998     -0.819999993    
        1062  -1.36000001     -0.759999990    
        1064  -1.72000003     -0.899999976    
        1066  -1.63999999     -0.899999976    
        1068  -1.75999999     -0.920000017    
        1070  -1.91999996     -0.980000019    
        1072  -2.00000000      -1.00000000    
        1074  -1.91999996     -0.980000019    
        1076  -1.72000003     -0.920000017    
        1078  -1.75999999     -0.899999976    
        1080  -1.55999994     -0.860000014    
        1082  -1.36000001     -0.759999990    
        1084  -1.51999998     -0.800000012    
        1086  -1.88000000     -0.959999979    
        1088  -2.00000000      -1.00000000    
        1090  -1.91999996     -0.980000019    
        1092  -1.84000003     -0.959999979    
        1094  -1.91999996     -0.980000019    
        1096  -1.88000000     -0.959999979    
        1098  -2.00000000      -1.00000000    
        1100  -1.91999996     -0.980000019    
        1102  -1.75999999     -0.939999998    
        1104  -1.75999999     -0.939999998    
        1106  -1.67999995     -0.920000017    
        1108  -1.51999998     -0.819999993    
        1110  -1.63999999     -0.879999995    
        1112  -1.63999999     -0.899999976    
        1114  -1.67999995     -0.920000017    
        1116  -1.48000002     -0.860000014    
        1118  -1.67999995     -0.899999976    
        1120  -1.67999995     -0.920000017    
        1122  -1.72000003     -0.879999995    
        1124  -1.75999999     -0.860000014    
        1126  -1.75999999     -0.920000017    
        1128  -1.60000002     -0.860000014    
        1130  -1.55999994     -0.839999974    
        1132  -1.63999999     -0.899999976    
        1134  -1.75999999     -0.939999998    
        1136  -1.84000003     -0.959999979    
        1138  -1.72000003     -0.879999995    
        1140  -1.63999999     -0.879999995    
        1142  -1.51999998     -0.860000014    
        1144  -1.79999995     -0.939999998    
        1146  -1.48000002     -0.860000014    
        1148  -1.79999995     -0.939999998    
        1150  -1.75999999     -0.920000017    
        1152  -1.84000003     -0.939999998    
        1154  -1.67999995     -0.920000017    
        1156  -1.75999999     -0.939999998    
        1158  -2.00000000      -1.00000000    
        1160  -1.75999999     -0.920000017    
        1162  -1.55999994     -0.860000014    
        1164  -1.60000002     -0.800000012    
        1166  -1.67999995     -0.879999995    
        1168  -1.63999999     -0.860000014    
