 # Cycle    Energy/N    Magnetization/N
           2 -0.879999995      0.119999997    
         274  -1.84000003      0.959999979    
         276  -1.75999999      0.939999998    
         278  -2.00000000       1.00000000    
         280  -1.67999995      0.899999976    
         282  -1.60000002      0.839999974    
         284  -1.79999995      0.939999998    
         286  -1.88000000      0.959999979    
         288  -1.91999996      0.980000019    
         290  -1.91999996      0.980000019    
         292  -2.00000000       1.00000000    
         294  -1.84000003      0.959999979    
         296  -1.84000003      0.959999979    
         298  -1.88000000      0.959999979    
         300  -1.67999995      0.899999976    
         302  -1.75999999      0.899999976    
         304  -1.84000003      0.939999998    
         306  -1.84000003      0.959999979    
         308  -1.91999996      0.980000019    
         310  -2.00000000       1.00000000    
         312  -1.91999996      0.980000019    
         314  -1.79999995      0.920000017    
         316  -1.91999996      0.980000019    
         318  -1.91999996      0.980000019    
         320  -1.91999996      0.980000019    
         322  -1.60000002      0.800000012    
         324  -1.63999999      0.819999993    
         326  -1.72000003      0.879999995    
         328  -1.75999999      0.939999998    
         330  -2.00000000       1.00000000    
         332  -2.00000000       1.00000000    
         334  -1.84000003      0.959999979    
         336  -1.63999999      0.860000014    
         338  -1.75999999      0.939999998    
         340  -1.84000003      0.959999979    
         342  -1.84000003      0.959999979    
         344  -1.88000000      0.959999979    
         346  -1.84000003      0.959999979    
         348  -2.00000000       1.00000000    
         350  -2.00000000       1.00000000    
         352  -2.00000000       1.00000000    
         354  -2.00000000       1.00000000    
         356  -2.00000000       1.00000000    
         358  -1.88000000      0.959999979    
         360  -2.00000000       1.00000000    
         362  -2.00000000       1.00000000    
         364  -2.00000000       1.00000000    
         366  -2.00000000       1.00000000    
         368  -1.75999999      0.920000017    
         370  -1.75999999      0.839999974    
         372  -1.67999995      0.879999995    
         374  -1.79999995      0.939999998    
         376  -1.91999996      0.980000019    
         378  -2.00000000       1.00000000    
         380  -1.91999996      0.980000019    
         382  -1.79999995      0.939999998    
         384  -1.75999999      0.899999976    
         386  -1.84000003      0.959999979    
         388  -1.91999996      0.980000019    
         390  -1.91999996      0.980000019    
         392  -1.67999995      0.879999995    
         394  -1.84000003      0.959999979    
         396  -1.91999996      0.980000019    
         398  -2.00000000       1.00000000    
         400  -1.91999996      0.980000019    
         402  -1.91999996      0.980000019    
         404  -2.00000000       1.00000000    
         406  -1.84000003      0.959999979    
         408  -1.88000000      0.959999979    
         410  -1.91999996      0.980000019    
         412  -1.84000003      0.959999979    
         414  -1.84000003      0.959999979    
         416  -1.91999996      0.980000019    
         418  -2.00000000       1.00000000    
         420  -2.00000000       1.00000000    
         422  -2.00000000       1.00000000    
         424  -1.91999996      0.980000019    
         426  -1.88000000      0.959999979    
         428  -1.79999995      0.920000017    
         430  -1.67999995      0.899999976    
         432  -1.79999995      0.939999998    
         434  -1.84000003      0.959999979    
         436  -1.91999996      0.980000019    
         438  -1.91999996      0.980000019    
         440  -1.79999995      0.939999998    
         442  -1.75999999      0.939999998    
         444  -1.72000003      0.920000017    
         446  -1.75999999      0.939999998    
         448  -1.91999996      0.980000019    
         450  -1.84000003      0.920000017    
         452  -1.88000000      0.959999979    
         454  -2.00000000       1.00000000    
         456  -1.91999996      0.980000019    
         458  -1.84000003      0.959999979    
         460  -2.00000000       1.00000000    
         462  -1.91999996      0.980000019    
         464  -1.72000003      0.920000017    
         466  -1.88000000      0.959999979    
         468  -1.91999996      0.980000019    
         470  -1.51999998      0.839999974    
         472  -1.36000001      0.699999988    
         474  -1.72000003      0.920000017    
         476  -1.91999996      0.980000019    
         478  -1.72000003      0.920000017    
         480  -1.84000003      0.959999979    
         482  -1.91999996      0.980000019    
         484  -2.00000000       1.00000000    
         486  -1.84000003      0.959999979    
         488  -1.91999996      0.980000019    
         490  -1.84000003      0.959999979    
         492  -1.91999996      0.980000019    
         494  -1.88000000      0.959999979    
         496  -1.67999995      0.899999976    
         498  -1.91999996      0.980000019    
         500  -2.00000000       1.00000000    
         502  -2.00000000       1.00000000    
         504  -1.91999996      0.980000019    
         506  -1.75999999      0.939999998    
         508  -1.72000003      0.879999995    
         510  -2.00000000       1.00000000    
         512  -1.75999999      0.939999998    
         514  -1.84000003      0.959999979    
         516  -1.91999996      0.980000019    
         518  -1.48000002      0.819999993    
         520  -1.91999996      0.980000019    
         522  -1.91999996      0.980000019    
         524  -1.75999999      0.939999998    
         526  -1.79999995      0.939999998    
         528  -2.00000000       1.00000000    
         530  -2.00000000       1.00000000    
         532  -2.00000000       1.00000000    
         534  -1.91999996      0.980000019    
         536  -1.91999996      0.980000019    
         538  -1.91999996      0.980000019    
         540  -1.91999996      0.980000019    
         542  -2.00000000       1.00000000    
         544  -2.00000000       1.00000000    
         546  -2.00000000       1.00000000    
         548  -1.91999996      0.980000019    
         550  -1.84000003      0.959999979    
         552  -1.84000003      0.959999979    
         554  -1.67999995      0.879999995    
         556  -1.88000000      0.959999979    
         558  -1.84000003      0.959999979    
         560  -2.00000000       1.00000000    
