 # Cycle    Energy/N    Magnetization/N
           2 -0.848888874       2.88888887E-02
         572  -1.45777774      0.515555561    
         574  -1.47111106      0.479999989    
         576  -1.48444450      0.468888879    
         578  -1.49777782      0.537777781    
         580  -1.46222222      0.591111124    
         582  -1.47111106      0.571111083    
         584  -1.48444450      0.586666644    
         586  -1.55555558      0.613333344    
         588  -1.54222226      0.642222226    
         590  -1.60000002      0.648888886    
         592  -1.53777778      0.682222247    
         594  -1.44888890      0.704444468    
         596  -1.54222226      0.768888891    
         598  -1.51555550      0.740000010    
         600  -1.50222218      0.779999971    
         602  -1.48888886      0.755555570    
         604  -1.48888886      0.722222209    
         606  -1.47555554      0.724444449    
         608  -1.61777782      0.797777772    
         610  -1.61777782      0.804444432    
         612  -1.60444450      0.833333313    
         614  -1.63999999      0.857777774    
         616  -1.59111106      0.835555553    
         618  -1.60444450      0.851111114    
         620  -1.71111107      0.886666656    
         622  -1.69777775      0.877777755    
         624  -1.70666671      0.879999995    
         626  -1.70666671      0.886666656    
         628  -1.71555555      0.904444456    
         630  -1.63555551      0.857777774    
         632  -1.74222219      0.893333316    
         634  -1.72000003      0.906666696    
         636  -1.71555555      0.906666696    
         638  -1.75111115      0.920000017    
         640  -1.62666667      0.868888915    
         642  -1.76444447      0.906666696    
         644  -1.67555559      0.895555556    
         646  -1.62222219      0.879999995    
         648  -1.64444447      0.886666656    
         650  -1.76888883      0.928888917    
         652  -1.66666663      0.895555556    
         654  -1.68444443      0.897777796    
         656  -1.69333339      0.886666656    
         658  -1.66222227      0.871111095    
         660  -1.72444439      0.904444456    
         662  -1.72444439      0.924444437    
         664  -1.79111111      0.939999998    
         666  -1.73777783      0.917777777    
         668  -1.72444439      0.913333356    
         670  -1.67999995      0.884444416    
         672  -1.65333331      0.877777755    
         674  -1.71111107      0.904444456    
         676  -1.79111111      0.935555577    
         678  -1.69333339      0.891111135    
         680  -1.66222227      0.882222235    
         682  -1.71555555      0.895555556    
         684  -1.73777783      0.911111116    
         686  -1.73333335      0.911111116    
         688  -1.61777782      0.864444435    
         690  -1.66666663      0.897777796    
         692  -1.66666663      0.899999976    
         694  -1.68444443      0.899999976    
         696  -1.74222219      0.920000017    
         698  -1.81333339      0.948888898    
         700  -1.78666663      0.933333337    
         702  -1.77333331      0.926666677    
         704  -1.76444447      0.913333356    
         706  -1.72000003      0.888888896    
         708  -1.69333339      0.899999976    
         710  -1.70666671      0.871111095    
         712  -1.70222223      0.868888915    
         714  -1.64444447      0.862222195    
         716  -1.68888891      0.891111135    
         718  -1.68888891      0.877777755    
         720  -1.58666670      0.835555553    
         722  -1.64444447      0.873333335    
         724  -1.74666667      0.911111116    
         726  -1.72000003      0.893333316    
         728  -1.79999995      0.935555577    
         730  -1.77333331      0.924444437    
         732  -1.79111111      0.935555577    
         734  -1.73333335      0.924444437    
         736  -1.70222223      0.899999976    
         738  -1.70222223      0.884444416    
         740  -1.68444443      0.882222235    
         742  -1.69777775      0.893333316    
         744  -1.68444443      0.893333316    
         746  -1.74222219      0.917777777    
         748  -1.73333335      0.920000017    
         750  -1.72888887      0.920000017    
         752  -1.73333335      0.897777796    
         754  -1.70222223      0.895555556    
         756  -1.60444450      0.833333313    
         758  -1.61777782      0.855555534    
         760  -1.64888895      0.891111135    
         762  -1.68444443      0.895555556    
         764  -1.81333339      0.928888917    
         766  -1.65333331      0.877777755    
         768  -1.72888887      0.899999976    
         770  -1.75999999      0.906666696    
         772  -1.65777779      0.893333316    
         774  -1.69777775      0.888888896    
         776  -1.67111111      0.875555575    
         778  -1.67111111      0.899999976    
         780  -1.67999995      0.891111135    
         782  -1.65777779      0.884444416    
         784  -1.67555559      0.886666656    
         786  -1.63111115      0.882222235    
         788  -1.65333331      0.873333335    
         790  -1.55555558      0.828888893    
         792  -1.65333331      0.848888874    
         794  -1.62222219      0.846666694    
         796  -1.61333334      0.860000014    
         798  -1.70222223      0.882222235    
         800  -1.67111111      0.886666656    
         802  -1.71111107      0.888888896    
         804  -1.74222219      0.886666656    
         806  -1.72888887      0.877777755    
         808  -1.64888895      0.862222195    
         810  -1.67111111      0.846666694    
         812  -1.55111110      0.795555532    
         814  -1.62222219      0.819999993    
         816  -1.67555559      0.791111112    
         818  -1.54222226      0.757777750    
         820  -1.55999994      0.771111131    
         822  -1.54666662      0.764444470    
         824  -1.55555558      0.740000010    
         826  -1.54666662      0.684444427    
         828  -1.61777782      0.699999988    
         830  -1.49777782      0.737777770    
         832  -1.57777774      0.804444432    
         834  -1.68888891      0.864444435    
         836  -1.58222222      0.815555573    
         838  -1.59111106      0.766666651    
         840  -1.61333334      0.831111133    
         842  -1.66222227      0.855555534    
         844  -1.68444443      0.882222235    
         846  -1.79111111      0.928888917    
         848  -1.68444443      0.902222216    
         850  -1.77333331      0.922222197    
         852  -1.74666667      0.904444456    
         854  -1.67999995      0.891111135    
         856  -1.64888895      0.891111135    
         858  -1.72444439      0.915555537    
         860  -1.75111115      0.924444437    
         862  -1.73777783      0.920000017    
         864  -1.71111107      0.893333316    
         866  -1.60888886      0.842222214    
         868  -1.58222222      0.848888874    
         870  -1.57777774      0.815555573    
         872  -1.60000002      0.795555532    
         874  -1.55999994      0.764444470    
         876  -1.54222226      0.775555551    
         878  -1.45333338      0.766666651    
         880  -1.57777774      0.806666672    
         882  -1.64888895      0.875555575    
         884  -1.67555559      0.877777755    
         886  -1.74666667      0.897777796    
         888  -1.65333331      0.860000014    
         890  -1.63111115      0.815555573    
         892  -1.66222227      0.857777774    
         894  -1.72888887      0.893333316    
         896  -1.68444443      0.886666656    
         898  -1.84000003      0.937777758    
         900  -1.73777783      0.891111135    
         902  -1.65777779      0.877777755    
         904  -1.68444443      0.879999995    
         906  -1.70222223      0.886666656    
         908  -1.67111111      0.879999995    
         910  -1.63999999      0.882222235    
         912  -1.77333331      0.933333337    
         914  -1.71111107      0.902222216    
         916  -1.66666663      0.891111135    
         918  -1.70666671      0.884444416    
         920  -1.70666671      0.904444456    
         922  -1.67555559      0.882222235    
         924  -1.72888887      0.893333316    
         926  -1.62666667      0.853333354    
         928  -1.71111107      0.908888876    
         930  -1.72444439      0.920000017    
         932  -1.74222219      0.913333356    
         934  -1.63999999      0.875555575    
         936  -1.71111107      0.908888876    
         938  -1.72888887      0.911111116    
         940  -1.73333335      0.917777777    
         942  -1.76888883      0.915555537    
         944  -1.67555559      0.904444456    
         946  -1.72000003      0.899999976    
         948  -1.72888887      0.886666656    
         950  -1.71111107      0.904444456    
         952  -1.67999995      0.884444416    
         954  -1.69777775      0.897777796    
         956  -1.63999999      0.864444435    
