 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
         498  -1.70720005       1.62000004E-02
         500  -1.70840001       9.60000046E-03
         502  -1.70360005       5.79999993E-03
         504  -1.71360004      -2.60000001E-03
         506  -1.70599997      -2.79999990E-03
         508  -1.70519996      -1.00000005E-03
         510  -1.69439995      -5.20000001E-03
         512  -1.69319999      -2.00000009E-03
         514  -1.69120002      -2.60000001E-03
         516  -1.66520000      -3.80000006E-03
         518  -1.67960000       4.00000019E-03
         520  -1.69200003       1.31999999E-02
         522  -1.68079996       6.39999984E-03
         524  -1.69480002       1.67999994E-02
         526  -1.71599996       1.64000001E-02
         528  -1.71480000       3.19999992E-03
         530  -1.69679999       1.04000000E-02
         532  -1.68799996       1.62000004E-02
         534  -1.69159997       1.26000000E-02
         536  -1.69959998       9.60000046E-03
         538  -1.72640002       3.59999994E-03
         540  -1.70519996       1.02000004E-02
         542  -1.70720005       2.60000001E-03
         544  -1.71480000      -3.99999990E-04
         546  -1.70319998       1.75999999E-02
         548  -1.71280003       1.20000001E-02
         550  -1.70400000       1.79999997E-03
         552  -1.68519998      -1.46000003E-02
         554  -1.70280004      -6.20000018E-03
         556  -1.68560004      -7.00000022E-03
         558  -1.70079994      -1.33999996E-02
         560  -1.69599998      -8.60000029E-03
         562  -1.71280003      -1.74000002E-02
         564  -1.71280003      -8.00000038E-03
         566  -1.69719994      -2.87999995E-02
         568  -1.70599997      -3.06000002E-02
         570  -1.67359996      -3.86000015E-02
         572  -1.69640005      -3.55999991E-02
         574  -1.71200001      -4.39999998E-02
         576  -1.71280003      -4.47999984E-02
         578  -1.69879997      -3.75999995E-02
         580  -1.69439995      -3.13999988E-02
         582  -1.68680000      -2.21999995E-02
         584  -1.69400001      -9.60000046E-03
         586  -1.66359997      -6.80000009E-03
         588  -1.68200004      -2.60000001E-03
         590  -1.70560002      -1.20000001E-02
         592  -1.70439994       1.59999996E-03
         594  -1.67600000      -2.40000011E-03
         596  -1.68719995      -4.99999989E-03
         598  -1.67400002      -1.18000004E-02
         600  -1.66279995       6.00000028E-04
         602  -1.69120002      -3.00000003E-03
         604  -1.68480003       1.75999999E-02
         606  -1.69120002       3.80000006E-03
         608  -1.68120003      -3.59999994E-03
         610  -1.68799996       1.99999995E-04
         612  -1.68200004      -3.40000005E-03
         614  -1.69640005      -4.80000023E-03
         616  -1.69120002      -2.58000009E-02
         618  -1.68200004      -1.75999999E-02
         620  -1.71800005      -1.86000001E-02
         622  -1.70200002      -1.99999996E-02
         624  -1.70840001      -2.26000007E-02
         626  -1.70039999      -2.14000009E-02
         628  -1.70720005      -2.99999993E-02
         630  -1.71200001      -2.45999992E-02
         632  -1.73720002      -2.28000004E-02
         634  -1.70480001      -1.11999996E-02
         636  -1.70599997      -1.65999997E-02
         638  -1.71280003      -1.08000003E-02
         640  -1.71039999      -1.79999997E-03
         642  -1.70840001      -5.20000001E-03
         644  -1.71159995      -7.00000022E-03
         646  -1.69000006      -1.14000002E-02
         648  -1.69959998      -1.52000003E-02
         650  -1.69959998      -1.97999999E-02
         652  -1.68560004      -2.28000004E-02
         654  -1.70239997      -1.96000002E-02
         656  -1.71080005      -2.96000000E-02
         658  -1.72280002      -3.55999991E-02
         660  -1.68760002      -2.87999995E-02
         662  -1.69920003      -2.87999995E-02
         664  -1.70920002      -3.09999995E-02
         666  -1.70439994      -2.38000005E-02
         668  -1.69959998      -7.40000000E-03
         670  -1.68959999      -1.30000003E-02
         672  -1.69840002      -8.79999995E-03
         674  -1.70959997       2.19999999E-03
         676  -1.69360006       4.39999998E-03
         678  -1.68359995       2.72000004E-02
         680  -1.66719997       3.22000012E-02
         682  -1.69920003       2.84000002E-02
         684  -1.69879997       3.31999995E-02
         686  -1.69959998       2.84000002E-02
         688  -1.70280004       2.06000004E-02
         690  -1.68159997       2.23999992E-02
         692  -1.66600001       2.55999994E-02
         694  -1.66680002       1.99999996E-02
         696  -1.68040001       2.01999992E-02
         698  -1.68840003       8.99999961E-03
         700  -1.69679999       1.67999994E-02
         702  -1.69519997       1.75999999E-02
         704  -1.70000005       7.19999988E-03
         706  -1.70480001       2.28000004E-02
         708  -1.69640005       2.36000009E-02
         710  -1.69679999       2.96000000E-02
         712  -1.71519995       2.53999997E-02
         714  -1.70920002       2.08000001E-02
         716  -1.70000005       2.45999992E-02
         718  -1.70360005       2.92000007E-02
         720  -1.70480001       2.18000002E-02
         722  -1.72920001       2.31999997E-02
         724  -1.72360003       1.72000006E-02
         726  -1.70200002       8.79999995E-03
         728  -1.70840001       2.01999992E-02
         730  -1.72560000       9.39999986E-03
         732  -1.71959996       8.00000038E-03
         734  -1.70120001       4.19999985E-03
         736  -1.72039998      -1.79999997E-03
         738  -1.70039999      -7.79999979E-03
         740  -1.68280005      -1.00000005E-03
         742  -1.69519997      -3.40000005E-03
         744  -1.67879999      -2.38000005E-02
