 # Cycle    Energy/N    Magnetization/N
         666  -1.12000000     -0.519999981    
         668  -1.15999997     -0.620000005    
         670  -1.36000001     -0.699999988    
         672  -1.39999998     -0.720000029    
         674  -1.48000002     -0.720000029    
         676  -1.60000002     -0.720000029    
         678  -1.27999997     -0.639999986    
         680  -1.51999998     -0.680000007    
         682  -1.72000003     -0.899999976    
         684  -1.67999995     -0.899999976    
         686  -1.55999994     -0.879999995    
         688  -1.51999998     -0.800000012    
         690  -1.51999998     -0.800000012    
         692  -1.48000002     -0.839999974    
         694  -1.51999998     -0.819999993    
         696  -1.67999995     -0.899999976    
         698  -1.84000003     -0.959999979    
         700  -1.79999995     -0.939999998    
         702  -1.84000003     -0.959999979    
         704  -1.84000003     -0.959999979    
         706  -1.67999995     -0.899999976    
         708  -1.84000003     -0.959999979    
         710  -1.84000003     -0.959999979    
         712  -1.84000003     -0.959999979    
         714  -1.67999995     -0.899999976    
         716  -1.48000002     -0.839999974    
         718  -1.67999995     -0.920000017    
         720  -1.84000003     -0.959999979    
         722  -1.60000002     -0.879999995    
         724  -1.88000000     -0.959999979    
         726  -1.84000003     -0.959999979    
         728  -1.67999995     -0.899999976    
         730  -1.84000003     -0.939999998    
         732  -1.63999999     -0.860000014    
         734  -1.63999999     -0.879999995    
         736  -1.75999999     -0.920000017    
         738  -1.32000005     -0.740000010    
         740  -1.44000006     -0.779999971    
         742  -1.60000002     -0.879999995    
         744  -1.63999999     -0.899999976    
         746  -1.84000003     -0.959999979    
         748  -1.91999996     -0.980000019    
         750  -1.67999995     -0.920000017    
         752  -1.91999996     -0.980000019    
         754  -1.72000003     -0.920000017    
         756  -1.60000002     -0.860000014    
         758  -1.72000003     -0.899999976    
         760  -1.72000003     -0.920000017    
         762  -1.88000000     -0.959999979    
         764  -1.91999996     -0.980000019    
         766  -1.67999995     -0.920000017    
         768  -1.91999996     -0.980000019    
         770  -1.51999998     -0.839999974    
         772  -1.79999995     -0.899999976    
         774  -1.75999999     -0.920000017    
         776  -1.67999995     -0.920000017    
