#  i    Total    Potential    Kinetic    Temperature   Pressure
 224  -0.885205   -3.13521       2.25        1.5   0.624312
 225  -0.884474   -3.13447       2.25        1.5   0.615699
 226  -0.883611   -3.13361       2.25        1.5   0.607476
 227  -0.882613   -3.13261       2.25        1.5   0.599725
 228  -0.88148   -3.13148       2.25        1.5   0.592179
 229  -0.880209   -3.13021       2.25        1.5   0.584917
 230  -0.878802    -3.1288       2.25        1.5   0.578015
 231  -0.87726   -3.12726       2.25        1.5    0.57155
 232  -0.875583   -3.12558       2.25        1.5   0.565288
 233  -0.873774   -3.12377       2.25        1.5   0.559303
 234  -0.871834   -3.12183       2.25        1.5   0.553706
 235  -0.869769   -3.11977       2.25        1.5   0.548413
 236  -0.86758   -3.11758       2.25        1.5   0.543418
 237  -0.865272   -3.11527       2.25        1.5   0.538637
 238  -0.862849   -3.11285       2.25        1.5   0.534137
 239  -0.860317   -3.11032       2.25        1.5   0.529833
 240  -0.85768   -3.10768       2.25        1.5   0.525908
 241  -0.854944   -3.10494       2.25        1.5   0.522196
 242  -0.852116   -3.10212       2.25        1.5   0.518686
 243  -0.849199    -3.0992       2.25        1.5   0.515368
 244  -0.846202    -3.0962       2.25        1.5   0.512268
 245  -0.843129   -3.09313       2.25        1.5   0.509605
 246  -0.839988   -3.08999       2.25        1.5   0.506789
 247  -0.836785   -3.08679       2.25        1.5   0.504423
 248  -0.833528   -3.08353       2.25        1.5   0.502186
 249  -0.830223   -3.08022       2.25        1.5   0.500143
 250  -0.826876   -3.07688       2.25        1.5   0.498281
 251  -0.823493   -3.07349       2.25        1.5   0.496549
 252  -0.820081   -3.07008       2.25        1.5   0.494896
 253  -0.816646   -3.06665       2.25        1.5   0.493388
 254  -0.813194   -3.06319       2.25        1.5    0.49205
 255  -0.809731   -3.05973       2.25        1.5   0.490599
 256  -0.806264   -3.05626       2.25        1.5    0.48914
 257  -0.802798    -3.0528       2.25        1.5   0.487932
 258  -0.799339   -3.04934       2.25        1.5   0.486615
 259  -0.795893   -3.04589       2.25        1.5   0.485449
 260  -0.792464   -3.04246       2.25        1.5   0.484345
 261  -0.789059   -3.03906       2.25        1.5   0.483139
 262  -0.785683   -3.03568       2.25        1.5   0.481898
 263  -0.78234   -3.03234       2.25        1.5   0.480687
 264  -0.779037   -3.02904       2.25        1.5   0.479653
 265  -0.775777   -3.02578       2.25        1.5   0.478128
 266  -0.772565   -3.02257       2.25        1.5   0.476839
 267  -0.769405    -3.0194       2.25        1.5   0.475548
 268  -0.766298    -3.0163       2.25        1.5   0.474248
 269  -0.763247   -3.01325       2.25        1.5   0.472856
 270  -0.760255   -3.01025       2.25        1.5   0.471523
 271  -0.757322   -3.00732       2.25        1.5   0.469937
 272  -0.754449   -3.00445       2.25        1.5   0.468292
 273  -0.751634   -3.00163       2.25        1.5   0.466666
 274  -0.748875   -2.99888       2.25        1.5   0.464831
 275  -0.746168   -2.99617       2.25        1.5   0.463102
 276  -0.743505   -2.99351       2.25        1.5   0.461374
 277  -0.740882   -2.99088       2.25        1.5     0.4595
 278  -0.738292   -2.98829       2.25        1.5   0.457688
 279  -0.735724   -2.98572       2.25        1.5   0.455913
 280  -0.73317   -2.98317       2.25        1.5   0.454151
 281  -0.730619   -2.98062       2.25        1.5   0.452498
