#  i    Total    Potential    Kinetic    Temperature   Pressure
 375  -0.513898   -2.74472    2.23082    1.48722   0.197703
 376  -0.514667   -2.74338    2.22871    1.48581    0.19636
 377  -0.530251   -2.74198    2.21173    1.47449   0.191058
 378  -0.556311   -2.74054    2.18423    1.45615   0.183081
 379  -0.541229   -2.73905    2.19782    1.46521   0.186315
 380  -0.526889    -2.7375    2.21061    1.47374   0.189472
 381  -0.503737   -2.73587    2.23213    1.48809   0.195155
 382  -0.501519   -2.73415    2.23263    1.48842    0.19533
 383  -0.516376   -2.73235    2.21597    1.47731   0.191081
 384  -0.524143   -2.73046    2.20632    1.47088   0.189091
 385  -0.532779   -2.72848     2.1957     1.4638   0.186852
 386  -0.56004   -2.72642    2.16638    1.44425   0.179632
 387  -0.554922   -2.72427    2.16934    1.44623   0.181532
 388  -0.532624   -2.72202    2.18939     1.4596   0.187997
 389  -0.508727   -2.71966    2.21093    1.47395   0.195076
 390  -0.501295   -2.71718    2.21588    1.47726   0.198082
 391  -0.49246   -2.71459    2.22213    1.48142   0.201817
 392  -0.462154   -2.71188    2.24973    1.49982   0.211252
 393  -0.434405   -2.70904    2.27464    1.51643   0.220222
 394  -0.440482   -2.70607    2.26559    1.51039   0.220435
 395  -0.448338   -2.70299    2.25465     1.5031   0.220424
 396  -0.470502    -2.6998     2.2293     1.4862   0.216874
 397  -0.456175   -2.69652    2.24035    1.49356   0.223232
 398  -0.46977   -2.69314    2.22337    1.48224   0.222253
 399  -0.446544   -2.68967    2.24313    1.49542   0.231407
 400  -0.434022   -2.68611    2.25209    1.50139   0.237684
 401  -0.433714   -2.68245    2.24874    1.49916   0.240748
 402  -0.444167   -2.67872    2.23456     1.4897   0.241353
 403  -0.415789   -2.67494    2.25915     1.5061   0.252351
 404  -0.40452   -2.67108    2.26656    1.51104   0.258806
 405  -0.398752   -2.66715     2.2684    1.51226   0.263868
 406  -0.424568   -2.66317     2.2386     1.4924   0.260604
 407  -0.427106   -2.65918    2.23208    1.48805   0.263828
 408  -0.425713   -2.65518    2.22947    1.48631   0.268026
 409  -0.432518   -2.65117    2.21865     1.4791   0.270064
 410  -0.414093   -2.64718    2.23308    1.48872   0.278941
 411  -0.418886   -2.64318     2.2243    1.48287   0.281548
 412  -0.387315   -2.63923    2.25191    1.50128   0.293807
 413  -0.40526   -2.63529    2.23003    1.48669   0.292788
 414  -0.370876   -2.63144    2.26056    1.50704   0.305507
 415  -0.37886   -2.62763    2.24877    1.49918   0.306843
 416  -0.402148   -2.62392    2.22177    1.48118   0.304072
 417  -0.409355   -2.62035      2.211      1.474   0.305398
 418  -0.429659   -2.61693    2.18727    1.45818   0.303097
 419  -0.418726   -2.61368    2.19496     1.4633   0.308908
 420  -0.398234   -2.61061    2.21237    1.47491   0.316773
 421  -0.346398   -2.60771    2.26131    1.50754   0.332912
 422  -0.331406   -2.60497    2.27357    1.51571   0.338839
 423  -0.296594   -2.60243    2.30584    1.53722   0.349641
 424  -0.298724   -2.60007    2.30135    1.53423   0.350651
 425  -0.335606   -2.59792    2.26232    1.50821   0.341742
 426  -0.347548   -2.59599    2.24844    1.49896   0.339362
 427  -0.358113   -2.59427    2.23616    1.49077   0.336995
 428  -0.386072   -2.59277    2.20669    1.47113   0.329641
 429  -0.344607   -2.59146    2.24686    1.49791   0.340534
 430  -0.338823   -2.59034    2.25152    1.50101   0.341699
 431  -0.34012   -2.58939    2.24927    1.49951   0.340596
 432  -0.353637    -2.5886    2.23496    1.48997   0.335916
 433  -0.328392   -2.58795    2.25956    1.50637   0.341503
 434  -0.331031   -2.58744    2.25641    1.50427   0.339401
 435  -0.357001   -2.58705    2.23005     1.4867   0.330818
 436  -0.364639   -2.58678    2.22214    1.48143   0.327116
 437  -0.320492   -2.58661    2.26612    1.51075   0.337063
 438  -0.314573   -2.58653    2.27196    1.51464   0.336538
 439  -0.337664   -2.58654    2.24887    1.49925   0.328195
 440  -0.332829   -2.58661    2.25379    1.50252   0.327126
 441  -0.380742   -2.58676    2.20602    1.47068   0.311733
 442  -0.396144   -2.58697    2.19083    1.46055   0.305174
 443  -0.359955   -2.58724    2.22729    1.48486   0.312131
 444  -0.332805   -2.58757    2.25477    1.50318   0.316772
 445  -0.322211   -2.58794    2.26573    1.51049   0.316813
 446  -0.347922   -2.58834    2.24042    1.49361   0.307405
 447  -0.335702   -2.58876    2.25306    1.50204   0.307797
 448  -0.346914   -2.58919    2.24227    1.49485   0.302193
 449  -0.320281   -2.58962    2.26934    1.51289    0.30646
 450  -0.343058   -2.59006      2.247      1.498   0.297901
 451  -0.312879   -2.59047    2.27759     1.5184     0.3032
 452  -0.31108   -2.59087    2.27979    1.51986   0.300725
 453  -0.283835   -2.59124    2.30741    1.53827   0.305404
 454  -0.29008   -2.59158     2.3015    1.53433   0.301287
 455  -0.299323   -2.59187    2.29254    1.52836   0.296418
 456  -0.289007   -2.59211     2.3031     1.5354   0.296621
 457  -0.275671   -2.59231    2.31664    1.54443   0.297981
 458  -0.266833   -2.59247    2.32563    1.55042   0.298339
 459  -0.266861   -2.59258    2.32572    1.55048   0.296148
 460  -0.299699   -2.59264    2.29294    1.52863   0.285256
 461  -0.287316   -2.59267    2.30536     1.5369   0.286512
 462  -0.315249   -2.59267    2.27742    1.51828   0.277191
 463  -0.338324   -2.59265    2.25433    1.50289   0.269264
 464  -0.33668   -2.59263    2.25595    1.50396   0.267968
 465  -0.326354    -2.5926    2.26625    1.51083   0.269117
 466  -0.333077   -2.59259    2.25951    1.50634   0.265645
 467  -0.37345   -2.59258    2.21913    1.47942   0.253043
 468  -0.386072   -2.59261    2.20654    1.47102   0.247796
 469  -0.406176   -2.59267    2.18649    1.45766   0.240596
 470  -0.435635   -2.59278    2.15714     1.4381   0.230893
 471  -0.460739   -2.59294     2.1322    1.42147   0.222526
 472  -0.475836   -2.59317    2.11733    1.41155   0.216368
 473  -0.471749   -2.59346    2.12171    1.41448   0.215434
 474   -0.4349   -2.59383    2.15893    1.43929   0.223099
 475  -0.432725   -2.59426    2.16154    1.44103   0.221371
 476  -0.456233   -2.59476    2.13853    1.42568   0.212753
 477  -0.441019   -2.59531    2.15429     1.4362   0.214204
 478  -0.453612   -2.59593    2.14231    1.42821   0.208197
 479  -0.482968   -2.59659    2.11362    1.40908   0.197819
 480  -0.478545    -2.5973    2.11875     1.4125   0.196215
 481  -0.489167   -2.59805    2.10888    1.40592   0.190737
 482  -0.520676   -2.59883    2.07815    1.38544   0.179462
 483  -0.492685   -2.59964    2.10695    1.40464   0.184156
 484  -0.478449   -2.60048    2.12203    1.41468   0.185259
 485  -0.414043   -2.60132    2.18728    1.45819   0.199653
 486  -0.383083   -2.60218    2.21909     1.4794   0.204922
 487  -0.38301   -2.60301       2.22       1.48   0.202149
 488  -0.404278    -2.6038    2.19953    1.46635   0.193841
 489  -0.37612   -2.60455    2.22843    1.48562   0.198774
 490  -0.38273   -2.60526    2.22253    1.48168   0.194635
 491  -0.359519    -2.6059    2.24638    1.49759   0.198528
 492  -0.337002   -2.60648    2.26947    1.51298   0.202232
 493  -0.343889   -2.60698    2.26309    1.50873   0.198186
 494  -0.354145   -2.60741    2.25326    1.50218   0.193548
 495  -0.342966   -2.60775    2.26479    1.50986   0.194779
 496  -0.319225   -2.60802    2.28879    1.52586   0.199389
 497  -0.305865   -2.60821    2.30234    1.53489     0.2013
 498  -0.297198   -2.60831    2.31111    1.54074   0.202229
 499  -0.280238   -2.60833    2.32809    1.55206   0.205601
 500  -0.274622   -2.60827    2.33365    1.55576   0.206136
 501  -0.282552   -2.60814    2.32558    1.55039   0.203129
 502  -0.276483   -2.60794    2.33146     1.5543   0.203876
 503  -0.281186   -2.60768     2.3265      1.551   0.201912
 504  -0.285498   -2.60738    2.32188    1.54792   0.200356
 505  -0.308587   -2.60705    2.29846    1.53231   0.193691
 506  -0.332326   -2.60669    2.27436    1.51624   0.186812
 507  -0.321894   -2.60633    2.28443    1.52296   0.189173
 508  -0.284484   -2.60597    2.32148    1.54766   0.198913
 509  -0.304626   -2.60562    2.30099    1.53399   0.193172
 510  -0.31812   -2.60528    2.28716    1.52477   0.189373
 511  -0.321352   -2.60498    2.28363    1.52242   0.188268
 512  -0.338346   -2.60472    2.26637    1.51091   0.183628
 513  -0.358651    -2.6045    2.24585    1.49723   0.177846
 514  -0.376968   -2.60434    2.22738    1.48492   0.172748
 515  -0.358942   -2.60424     2.2453    1.49687   0.177177
 516  -0.385751    -2.6042    2.21845    1.47897   0.169601
 517  -0.369712   -2.60421     2.2345    1.48967   0.173409
 518   -0.3617   -2.60428    2.24258    1.49505   0.174842
 519  -0.371649   -2.60438    2.23274    1.48849   0.171769
 520  -0.391734   -2.60453    2.21279     1.4752   0.165867
 521  -0.397476    -2.6047    2.20722    1.47148   0.163717
 522  -0.398156   -2.60488    2.20672    1.47115   0.162934
 523  -0.383195   -2.60507    2.22187    1.48125   0.166397
 524  -0.380719   -2.60524    2.22453    1.48302    0.16667
 525  -0.40994   -2.60539    2.19545    1.46363   0.158195
 526  -0.412063   -2.60548    2.19342    1.46228   0.157138
 527  -0.373961   -2.60552    2.23156     1.4877   0.167369
 528  -0.375761   -2.60547    2.22971    1.48647   0.166933
 529  -0.358719   -2.60531    2.24659    1.49773   0.171764
 530  -0.348834   -2.60503     2.2562    1.50413   0.174764
 531  -0.329713   -2.60461     2.2749     1.5166   0.180684
 532  -0.367611   -2.60402    2.23641    1.49094   0.171619
 533  -0.357023   -2.60327    2.24624     1.4975    0.17559
 534  -0.402708   -2.60232    2.19962    1.46641   0.164998
 535   -0.3861    -2.6012     2.2151    1.47673   0.171486
 536  -0.363385   -2.59988    2.23649    1.49099   0.179794
 537  -0.368686   -2.59833    2.22965    1.48643   0.180849
 538  -0.379636   -2.59658    2.21694    1.47796   0.181033
 539  -0.400611    -2.5946    2.19399    1.46266   0.178866
 540  -0.423388   -2.59243    2.16904    1.44603   0.176445
 541  -0.434144   -2.59006    2.15591    1.43728   0.177707
 542  -0.418486    -2.5875    2.16901    1.44601   0.186251
 543  -0.43345   -2.58474    2.15129     1.4342   0.186879
 544  -0.429546   -2.58182    2.15228    1.43485    0.19297
 545  -0.445627   -2.57874    2.13311    1.42208   0.193963
 546  -0.456511   -2.57553    2.11902    1.41268   0.196672
 547  -0.494703   -2.57221    2.07751    1.38501   0.192166
 548  -0.511279   -2.56884    2.05756    1.37171   0.193562
 549  -0.533919   -2.56542     2.0315    1.35433   0.193339
 550  -0.520067   -2.56199    2.04193    1.36129   0.203021
 551  -0.507587   -2.55856    2.05097    1.36731   0.212323
 552  -0.501026   -2.55514    2.05411    1.36941   0.219956
 553  -0.505619   -2.55177    2.04615     1.3641   0.224554
 554  -0.531511   -2.54848    2.01697    1.34465   0.223315
 555  -0.513273   -2.54531    2.03204    1.35469   0.233577
 556  -0.521577   -2.54227    2.02069    1.34713   0.236825
 557  -0.502758   -2.53937    2.03661    1.35774   0.247075
 558  -0.485032   -2.53662    2.05159    1.36772   0.256621
 559  -0.466014   -2.53403    2.06801    1.37867   0.266394
 560  -0.469461   -2.53159    2.06213    1.37475   0.269899
 561  -0.45611   -2.52933    2.07322    1.38215   0.277656
 562  -0.426925   -2.52724    2.10031    1.40021   0.289389
 563  -0.406343   -2.52528    2.11894    1.41263   0.298687
 564  -0.401807   -2.52346    2.12166    1.41444   0.303306
 565  -0.428855   -2.52177    2.09292    1.39528   0.299417
 566  -0.412047   -2.52021    2.10816    1.40544   0.306937
 567  -0.436003   -2.51875    2.08274     1.3885   0.303466
 568  -0.422792   -2.51738    2.09459    1.39639   0.309776
 569  -0.388733   -2.51609    2.12735    1.41824   0.321599
 570  -0.384414   -2.51484    2.13042    1.42028   0.325176
 571  -0.390881   -2.51362    2.12274    1.41516   0.325957
 572  -0.425821   -2.51244    2.08662    1.39108   0.318925
 573  -0.429843   -2.51129    2.08144    1.38763   0.320177
 574  -0.452125   -2.51015    2.05803    1.37202     0.3165
 575  -0.383088   -2.50905    2.12596    1.41731   0.336993
 576  -0.397198   -2.50793    2.11073    1.40715    0.33554
 577  -0.444551   -2.50681    2.06226    1.37484   0.325073
 578  -0.426561   -2.50572    2.07916    1.38611   0.332083
 579  -0.416396   -2.50463    2.08824    1.39216   0.336813
 580  -0.392982   -2.50355    2.11057    1.40705   0.345075
 581  -0.380296   -2.50248    2.12218    1.41479   0.350447
 582  -0.373448    -2.5014    2.12795    1.41863   0.354194
 583  -0.430693   -2.50033    2.06963    1.37976   0.340896
 584  -0.41109   -2.49928    2.08819    1.39213   0.348131
 585  -0.438474   -2.49825    2.05977    1.37318   0.342592
 586  -0.413966   -2.49724    2.08328    1.38885   0.350892
 587  -0.409633   -2.49626    2.08662    1.39108   0.353716
 588  -0.401964   -2.49529    2.09332    1.39555   0.357448
