#  i    Total    Potential    Kinetic    Temperature   Pressure
 554  -3.28734   -4.71114     1.4238   0.949201    1.77496
 555  -3.27672   -4.71557    1.43885   0.959233    1.76402
 556  -3.28448   -4.71991    1.43543   0.956954    1.74379
 557  -3.27363   -4.72411    1.45049   0.966991    1.73431
 558  -3.26368   -4.72819    1.46451   0.976341     1.7245
 559  -3.25286   -4.73213    1.47927   0.986178    1.71546
 560  -3.25759    -4.7359    1.47831   0.985537     1.6984
 561  -3.25076   -4.73947    1.48872   0.992477    1.68838
 562  -3.23305   -4.74287    1.50982    1.00655    1.68523
 563  -3.22137   -4.74607     1.5247    1.01647    1.67909
 564  -3.22078   -4.74907    1.52829    1.01886    1.66802
 565  -3.24217   -4.75184    1.50968    1.00645    1.64576
 566  -3.23306   -4.75438    1.52132    1.01421    1.64049
 567  -3.25234   -4.75671    1.50437    1.00291      1.621
 568  -3.24588   -4.75882    1.51293    1.00862    1.61578
 569  -3.22493   -4.76073     1.5358    1.02386    1.61897
 570  -3.22452   -4.76244    1.53792    1.02528    1.61187
 571  -3.23168   -4.76394    1.53226    1.02151    1.60123
 572  -3.25854   -4.76523    1.50669    1.00446    1.58072
 573    -3.264   -4.76632    1.50232    1.00154    1.57265
 574  -3.28199   -4.76723    1.48524   0.990161    1.55907
 575  -3.23669   -4.76797    1.53128    1.02086    1.57923
 576  -3.24904   -4.76855    1.51951      1.013     1.5698
 577  -3.28429   -4.76895    1.48466   0.989774    1.54854
 578  -3.27427    -4.7692    1.49493   0.996617      1.552
 579  -3.26972    -4.7693    1.49958   0.999723    1.55305
 580  -3.25595   -4.76926    1.51331    1.00887    1.55929
 581  -3.24955   -4.76908    1.51952    1.01302    1.56225
 582  -3.24721   -4.76874    1.52154    1.01436    1.56303
 583  -3.28899   -4.76827    1.47928    0.98619    1.54171
 584  -3.27772   -4.76768    1.48995   0.993302    1.54865
 585  -3.29887   -4.76696     1.4681   0.978731    1.53833
 586  -3.28414   -4.76615    1.48201   0.988009    1.54828
 587   -3.2832   -4.76524    1.48204   0.988025    1.55053
 588  -3.27994   -4.76423    1.48428   0.989522    1.55413
 589  -3.26879   -4.76312    1.49433   0.996219    1.56272
 590  -3.29706   -4.76192    1.46486   0.976573    1.55061
 591  -3.29762   -4.76066    1.46305   0.975366    1.55336
 592  -3.30364   -4.75934    1.45571   0.970472    1.55364
 593  -3.29715   -4.75798    1.46083   0.973889    1.56091
 594  -3.28784   -4.75657    1.46874   0.979158    1.56991
 595  -3.29508   -4.75513    1.46004   0.973362    1.57021
 596    -3.276   -4.75366    1.47766   0.985107    1.58371
 597  -3.29681   -4.75217    1.45536   0.970241    1.57658
 598  -3.28349   -4.75068    1.46719   0.978127    1.58802
 599   -3.2843    -4.7492     1.4649   0.976598     1.5921
 600  -3.26713   -4.74772     1.4806   0.987065    1.60557
 601  -3.25426   -4.74627      1.492    0.99467     1.6161
 602  -3.24828   -4.74483    1.49655     0.9977    1.62299
 603    -3.245   -4.74341    1.49841   0.998941    1.62875
 604  -3.22184   -4.74204    1.52019    1.01346    1.64525
 605  -3.17997   -4.74069    1.56072    1.04048    1.67119
 606  -3.16435   -4.73935      1.575       1.05    1.68389
 607  -3.18028   -4.73803    1.55775     1.0385    1.67926
 608  -3.17479   -4.73675    1.56196    1.04131     1.6859
 609   -3.1665   -4.73551    1.56901    1.04601    1.69409
 610  -3.15954   -4.73431    1.57477    1.04985    1.70092
 611  -3.13958   -4.73315    1.59357    1.06238    1.71474
 612  -3.14035   -4.73203    1.59168    1.06112    1.71742
 613  -3.14178   -4.73095    1.58917    1.05945    1.71994
 614  -3.11774   -4.72991    1.61217    1.07478    1.73547
 615  -3.10434   -4.72892    1.62458    1.08305     1.7454
 616  -3.09874   -4.72795    1.62921    1.08614    1.75134
 617  -3.08061   -4.72701     1.6464     1.0976    1.76397
 618  -3.06544    -4.7261    1.66066    1.10711      1.775
 619  -3.06901   -4.72519    1.65619    1.10412    1.77596
 620  -3.09333    -4.7243    1.63097    1.08731    1.76592
 621  -3.11986   -4.72343    1.60357    1.06905    1.75436
 622  -3.10942    -4.7226    1.61318    1.07545    1.76266
 623  -3.11225   -4.72179    1.60955    1.07303    1.76336
 624  -3.09834   -4.72101    1.62267    1.08178    1.77325
 625  -3.12662   -4.72023    1.59361    1.06241    1.76039
 626  -3.13011   -4.71948    1.58937    1.05958     1.7611
 627  -3.14648   -4.71874    1.57226    1.04817     1.7552
 628  -3.13361   -4.71802    1.58441    1.05627    1.76461
 629  -3.11589   -4.71731    1.60141    1.06761    1.77682
 630  -3.12072   -4.71658    1.59586    1.06391    1.77674
 631  -3.11569   -4.71585    1.60016    1.06677    1.78197
 632  -3.12754   -4.71509    1.58755    1.05837    1.77796
 633  -3.11025   -4.71431    1.60406    1.06937     1.7901
 634  -3.11941   -4.71349    1.59408    1.06272    1.78757
 635  -3.13758   -4.71263    1.57505    1.05003    1.78103
 636  -3.14118   -4.71175    1.57057    1.04705    1.78221
 637  -3.13802   -4.71083    1.57281    1.04854    1.78692
 638  -3.14249   -4.70988     1.5674    1.04493    1.78735
 639  -3.16099   -4.70891    1.54791    1.03194      1.781
 640   -3.1618   -4.70791    1.54611    1.03074    1.78343
 641  -3.18113    -4.7069    1.52577    1.01718      1.776
 642  -3.18722    -4.7059    1.51867    1.01245    1.77592
 643  -3.17572   -4.70491    1.52919    1.01946    1.78547
 644  -3.15566   -4.70394    1.54828    1.03219    1.79945
 645  -3.15806   -4.70298    1.54492    1.02995    1.80108
 646  -3.14342   -4.70206    1.55864    1.03909    1.81234
 647  -3.13074   -4.70116    1.57042    1.04695    1.82176
 648  -3.14601    -4.7003    1.55429    1.03619    1.81656
 649  -3.12668    -4.6995    1.57283    1.04855    1.82934
 650  -3.09722   -4.69876    1.60154    1.06769    1.84727
 651  -3.06699   -4.69807    1.63108    1.08739    1.86586
 652  -3.07026   -4.69744    1.62718    1.08479    1.86608
 653  -3.08839   -4.69686    1.60847    1.07231    1.85878
 654  -3.07283   -4.69635    1.62352    1.08235    1.86874
 655  -3.08507   -4.69591    1.61084    1.07389    1.86394
 656  -3.09234   -4.69553     1.6032     1.0688    1.86171
 657  -3.12294   -4.69523    1.57229    1.04819    1.84718
 658  -3.15016     -4.695    1.54484    1.02989    1.83372
 659  -3.14196   -4.69484    1.55287    1.03525    1.83894
 660   -3.1249   -4.69475    1.56985    1.04657    1.84895
 661  -3.12681    -4.6947    1.56789    1.04526    1.84843
 662  -3.10616   -4.69468    1.58851    1.05901    1.85997
 663  -3.06432   -4.69465    1.63033    1.08689      1.883
 664  -3.09117    -4.6946    1.60343    1.06895    1.86939
 665  -3.09104   -4.69449    1.60345    1.06897    1.87053
 666  -3.09565   -4.69432    1.59867    1.06578    1.86929
 667   -3.0762   -4.69407    1.61787    1.07858    1.88139
 668  -3.07353   -4.69373    1.62019    1.08013    1.88456
 669  -3.08369   -4.69327    1.60958    1.07305    1.88121
 670  -3.09293   -4.69269    1.59976     1.0665    1.87889
 671  -3.08393   -4.69199    1.60806    1.07204    1.88687
 672  -3.09797   -4.69116    1.59319    1.06213    1.88298
 673   -3.1024   -4.69021    1.58781    1.05854    1.88418
 674  -3.09976   -4.68913    1.58937    1.05958    1.88994
 675  -3.09483   -4.68792    1.59309    1.06206    1.89718
 676  -3.09612   -4.68658    1.59046     1.0603     1.9016
 677  -3.13027   -4.68512    1.55485    1.03657    1.88867
 678  -3.15792   -4.68357    1.52565     1.0171    1.87979
 679  -3.17614   -4.68194    1.50581    1.00387    1.87608
 680  -3.18839   -4.68027    1.49187   0.994583    1.87533
 681  -3.18752   -4.67854    1.49103   0.994019    1.88223
 682  -3.18404   -4.67678    1.49274    0.99516    1.89054
 683  -3.19005   -4.67499    1.48495   0.989964    1.89426
 684    -3.184   -4.67318    1.48918    0.99279    1.90381
 685   -3.1654   -4.67136    1.50596    1.00398    1.92038
 686  -3.16419   -4.66953    1.50534    1.00356    1.92778
 687  -3.15967   -4.66769    1.50803    1.00535    1.93684
 688  -3.15586   -4.66587       1.51    1.00667    1.94532
 689  -3.16144   -4.66405    1.50262    1.00174    1.94933
 690  -3.14822   -4.66228    1.51406    1.00937    1.96236
 691  -3.16019   -4.66053    1.50034    1.00023    1.96221
 692  -3.18858   -4.65885    1.47027    0.98018    1.95255
 693  -3.17354   -4.65725    1.48371   0.989142    1.96609
 694  -3.17507   -4.65573    1.48066   0.987106    1.97019
 695  -3.17493   -4.65431    1.47938   0.986255    1.97513
 696  -3.15892   -4.65299    1.49408   0.996051    1.98838
 697   -3.1577   -4.65178    1.49409   0.996057    1.99304
 698  -3.13864    -4.6507    1.51205    1.00804    2.00678
 699  -3.13447   -4.64973    1.51525    1.01017    2.01238
 700  -3.12061   -4.64888    1.52827    1.01885    2.02224
 701  -3.09479   -4.64817    1.55338    1.03559    2.03841
 702  -3.06672   -4.64757    1.58085     1.0539    2.05525
 703  -3.05253    -4.6471    1.59457    1.06305    2.06473
 704  -3.05404   -4.64675    1.59271     1.0618    2.06543
 705   -3.0428   -4.64652    1.60373    1.06915     2.0718
 706  -3.03853   -4.64642    1.60788    1.07192    2.07448
 707  -3.04151   -4.64644    1.60493    1.06995    2.07311
 708  -3.05153   -4.64658    1.59506    1.06337    2.06716
 709  -3.06213   -4.64686    1.58473    1.05649    2.06061
 710  -3.08485   -4.64727    1.56242    1.04161    2.04705
 711  -3.05114   -4.64781    1.59667    1.06445    2.06282
 712  -3.03336    -4.6485    1.61514    1.07676    2.07008
 713  -3.05599   -4.64929     1.5933     1.0622    2.05523
 714  -3.06962   -4.65019    1.58057    1.05371    2.04522
 715  -3.08541   -4.65118    1.56578    1.04385    2.03347
 716  -3.08752   -4.65227    1.56475    1.04317     2.0286
 717  -3.08403   -4.65345    1.56943    1.04628    2.02631
 718  -3.08818   -4.65471    1.56653    1.04435    2.01957
 719  -3.08315   -4.65603    1.57288    1.04859    2.01765
 720  -3.06418    -4.6574    1.59322    1.06215    2.02312
 721   -3.0938    -4.6588      1.565    1.04333    2.00207
 722  -3.06614   -4.66019    1.59405     1.0627    2.01186
 723  -3.07143   -4.66159    1.59016    1.06011    2.00385
 724  -3.05024   -4.66295    1.61272    1.07514    2.01011
 725  -3.04921   -4.66427    1.61507    1.07671    2.00571
 726  -3.05563   -4.66552    1.60989    1.07326    1.99721
 727  -3.05417   -4.66669    1.61252    1.07501    1.99299
 728  -3.04335   -4.66776    1.62441    1.08294    1.99449
 729  -3.04232   -4.66873    1.62641    1.08427    1.99128
 730  -3.01404   -4.66959    1.65555     1.1037    2.00264
 731  -3.03077   -4.67032    1.63955    1.09303    1.99043
 732  -3.00431   -4.67091     1.6666    1.11107    2.00129
 733  -3.00686   -4.67137    1.66451    1.10967    1.99731
 734  -3.01829   -4.67169    1.65339    1.10226     1.9888
 735  -3.01206   -4.67187     1.6598    1.10654    1.99092
 736  -3.02449   -4.67192    1.64743    1.09829    1.98302
 737  -3.02696   -4.67186     1.6449     1.0966    1.98065
 738  -3.03274   -4.67169    1.63895    1.09263    1.97739
 739  -3.03537   -4.67143    1.63606    1.09071    1.97588
 740  -3.04099   -4.67109     1.6301    1.08673    1.97295
 741  -3.04237   -4.67069    1.62832    1.08555    1.97276
 742  -3.03974   -4.67023    1.63048    1.08699    1.97435
 743  -3.04745   -4.66972    1.62227    1.08151    1.97061
 744  -3.07257   -4.66917     1.5966     1.0644    1.95804
 745  -3.09208    -4.6686    1.57652    1.05101    1.94856
 746  -3.10792   -4.66802     1.5601    1.04006    1.94101
 747  -3.11374   -4.66744     1.5537     1.0358    1.93865
 748   -3.1214   -4.66688    1.54548    1.03032    1.93575
 749  -3.14366   -4.66633    1.52266    1.01511    1.92487
 750  -3.15069    -4.6658    1.51512    1.01008    1.92229
 751  -3.17535   -4.66531    1.48996   0.993305    1.90922
 752  -3.17821   -4.66484    1.48663   0.991088    1.90828
 753    -3.184   -4.66442    1.48041   0.986943    1.90529
 754  -3.18434   -4.66402    1.47968   0.986455    1.90509
 755  -3.18221   -4.66365    1.48145    0.98763    1.90635
 756  -3.18177   -4.66331    1.48154    0.98769    1.90686
 757  -3.17799   -4.66298    1.48499   0.989993    1.90895
 758  -3.18162   -4.66265    1.48104   0.987357    1.90735
 759  -3.17043   -4.66233    1.49191   0.994606    1.91311
 760  -3.18085   -4.66201    1.48116   0.987439    1.90743
 761  -3.18401   -4.66167    1.47766   0.985107    1.90556
 762  -3.19428   -4.66132    1.46704    0.97803    1.90048
