#   r      g(r)
2.829472 1.074338
2.836014 1.056818
2.842557 1.050420
2.849099 1.038793
2.855641 1.033925
2.862183 1.034914
2.868725 1.021298
2.875267 1.018873
2.881809 1.009756
2.888352 1.006545
2.894894 1.005177
2.901436 0.999820
2.907978 0.993632
2.914520 0.986950
2.921062 0.984130
2.927604 0.978117
2.934146 0.975244
2.940689 0.970984
2.947231 0.970417
2.953773 0.967617
2.960315 0.955994
2.966857 0.961531
2.973399 0.960106
2.979941 0.954168
2.986484 0.950186
2.993026 0.943556
2.999568 0.935576
3.006110 0.937880
3.012652 0.927440
3.019194 0.915396
3.025736 0.916263
3.032278 0.911918
3.038821 0.903316
3.045363 0.898562
3.051905 0.893587
3.058447 0.889865
3.064989 0.883815
3.071531 0.873217
3.078073 0.871140
3.084616 0.872862
3.091158 0.868889
3.097700 0.861277
3.104242 0.856932
3.110784 0.853496
3.117326 0.856907
3.123868 0.850078
3.130410 0.845595
3.136953 0.846304
3.143495 0.841449
3.150037 0.839492
3.156579 0.844642
3.163121 0.840510
3.169663 0.844432
3.176205 0.851626
3.182748 0.852341
3.189290 0.850683
3.195832 0.851595
3.202374 0.852498
3.208916 0.858787
3.215458 0.865780
3.222000 0.874390
3.228542 0.879597
3.235085 0.882301
3.241627 0.890782
3.248169 0.900405
3.254711 0.903806
3.261253 0.907455
