#  i    Total    Potential    Kinetic    Temperature   Pressure
 171  0.0414072   -1.45859        1.5          1     44.784
 172  0.0256015    -1.4744        1.5          1    44.6961
 173  0.0103053   -1.48969        1.5          1    44.6109
 174  -0.00451312   -1.50451        1.5          1    44.5281
 175  -0.0188894   -1.51889        1.5          1    44.4478
 176  -0.0328609   -1.53286        1.5          1      44.37
 177  -0.0464649   -1.54646        1.5          1     44.294
 178  -0.0597362   -1.55974        1.5          1    44.2198
 179  -0.0727102   -1.57271        1.5          1     44.147
 180  -0.0854182   -1.58542        1.5          1    44.0751
 181  -0.0978895   -1.59789        1.5          1    44.0056
 182  -0.11015   -1.61015        1.5          1    43.9378
 183  -0.122219   -1.62222        1.5          1    43.8707
 184  -0.134111   -1.63411        1.5          1    43.8043
 185  -0.145835   -1.64583        1.5          1    43.7395
 186  -0.157391   -1.65739        1.5          1    43.6742
 187  -0.168779   -1.66878        1.5          1    43.6094
 188  -0.179991   -1.67999        1.5          1    43.5467
 189  -0.191018   -1.69102        1.5          1     43.486
 190  -0.201847   -1.70185        1.5          1    43.4253
 191  -0.21246   -1.71246        1.5          1    43.3668
 192  -0.222843   -1.72284        1.5          1    43.3081
 193  -0.232975   -1.73298        1.5          1    43.2523
 194  -0.242845   -1.74284        1.5          1    43.1976
 195  -0.252438   -1.75244        1.5          1    43.1441
 196  -0.261748   -1.76175        1.5          1    43.0913
 197  -0.270771   -1.77077        1.5          1    43.0417
 198  -0.279509   -1.77951        1.5          1    42.9931
 199  -0.28797   -1.78797        1.5          1    42.9455
 200  -0.296169   -1.79617        1.5          1       42.9
 201  -0.304128   -1.80413        1.5          1     42.855
 202  -0.311877   -1.81188        1.5          1    42.8114
 203  -0.319449   -1.81945        1.5          1    42.7693
 204  -0.326883   -1.82688        1.5          1     42.727
 205  -0.334223   -1.83422        1.5          1     42.686
 206  -0.341515   -1.84152        1.5          1     42.645
 207  -0.34881   -1.84881        1.5          1    42.6057
 208  -0.356158   -1.85616        1.5          1    42.5656
 209  -0.363607   -1.86361        1.5          1    42.5243
 210  -0.371202    -1.8712        1.5          1     42.483
 211  -0.378987   -1.87899        1.5          1     42.441
 212  -0.386999     -1.887        1.5          1    42.3974
 213  -0.395265   -1.89527        1.5          1    42.3529
 214  -0.403807   -1.90381        1.5          1    42.3062
 215  -0.412635   -1.91263        1.5          1    42.2581
 216  -0.421752   -1.92175        1.5          1    42.2093
 217  -0.431151   -1.93115        1.5          1    42.1591
 218  -0.440815   -1.94081        1.5          1    42.1078
 219  -0.450718   -1.95072        1.5          1    42.0549
 220  -0.460827   -1.96083        1.5          1    42.0012
 221  -0.471106   -1.97111        1.5          1    41.9455
 222  -0.481509   -1.98151        1.5          1    41.8897
 223  -0.49199   -1.99199        1.5          1    41.8328
 224   -0.5025    -2.0025        1.5          1    41.7777
 225  -0.512991   -2.01299        1.5          1    41.7222
 226  -0.523415   -2.02342        1.5          1    41.6669
 227  -0.533728   -2.03373        1.5          1    41.6123
 228  -0.54389   -2.04389        1.5          1    41.5591
 229  -0.553864   -2.05386        1.5          1    41.5064
 230  -0.563623   -2.06362        1.5          1    41.4543
 231  -0.573146   -2.07315        1.5          1    41.4049
 232  -0.582416   -2.08242        1.5          1    41.3562
 233  -0.591424   -2.09142        1.5          1    41.3084
 234  -0.600166   -2.10017        1.5          1    41.2625
 235  -0.608649   -2.10865        1.5          1    41.2177
 236  -0.61688   -2.11688        1.5          1     41.174
 237  -0.624876   -2.12488        1.5          1    41.1315
 238  -0.632655   -2.13266        1.5          1    41.0906
 239  -0.640239   -2.14024        1.5          1    41.0501
 240  -0.647651   -2.14765        1.5          1    41.0107
 241  -0.654917   -2.15492        1.5          1    40.9721
 242  -0.662064   -2.16206        1.5          1     40.934
 243  -0.669119   -2.16912        1.5          1    40.8964
 244  -0.676112   -2.17611        1.5          1    40.8604
 245  -0.683066   -2.18307        1.5          1    40.8232
 246  -0.690007   -2.19001        1.5          1    40.7864
 247  -0.696959   -2.19696        1.5          1    40.7488
 248  -0.70394   -2.20394        1.5          1    40.7108
 249  -0.71097   -2.21097        1.5          1    40.6739
 250  -0.718061   -2.21806        1.5          1     40.636
 251  -0.725226   -2.22523        1.5          1     40.598
 252  -0.732475   -2.23248        1.5          1    40.5603
 253  -0.739814   -2.23981        1.5          1    40.5207
 254  -0.747247   -2.24725        1.5          1     40.481
 255  -0.754775   -2.25477        1.5          1    40.4406
 256  -0.762398    -2.2624        1.5          1    40.3997
 257  -0.770114   -2.27011        1.5          1    40.3583
 258  -0.77792   -2.27792        1.5          1    40.3171
 259  -0.785808   -2.28581        1.5          1    40.2746
 260  -0.793772   -2.29377        1.5          1     40.232
 261  -0.801808   -2.30181        1.5          1     40.189
 262  -0.809907   -2.30991        1.5          1    40.1457
 263  -0.818063   -2.31806        1.5          1     40.101
 264  -0.826272   -2.32627        1.5          1    40.0568
 265  -0.834527   -2.33453        1.5          1    40.0125
 266  -0.842823   -2.34282        1.5          1    39.9669
 267  -0.851154   -2.35115        1.5          1     39.922
 268  -0.859516   -2.35952        1.5          1    39.8766
 269  -0.867906   -2.36791        1.5          1    39.8303
 270  -0.876322   -2.37632        1.5          1    39.7846
 271  -0.884763   -2.38476        1.5          1    39.7384
 272  -0.893229   -2.39323        1.5          1    39.6927
 273  -0.90172   -2.40172        1.5          1    39.6462
 274  -0.910236   -2.41024        1.5          1     39.599
 275  -0.918779   -2.41878        1.5          1    39.5519
 276  -0.927353   -2.42735        1.5          1    39.5049
 277  -0.93596   -2.43596        1.5          1    39.4575
 278  -0.944597    -2.4446        1.5          1    39.4093
 279  -0.953264   -2.45326        1.5          1    39.3616
 280  -0.961958   -2.46196        1.5          1    39.3146
 281  -0.970676   -2.47068        1.5          1    39.2677
 282  -0.979411   -2.47941        1.5          1    39.2193
 283  -0.988154   -2.48815        1.5          1    39.1707
 284  -0.996895    -2.4969        1.5          1    39.1222
 285  -1.00562   -2.50562        1.5          1    39.0735
 286  -1.01433   -2.51433        1.5          1    39.0246
 287    -1.023     -2.523        1.5          1    38.9759
 288  -1.03161   -2.53161        1.5          1    38.9278
 289  -1.04017   -2.54017        1.5          1    38.8796
 290  -1.04867   -2.54867        1.5          1    38.8328
 291  -1.05708   -2.55708        1.5          1    38.7857
 292  -1.06541   -2.56541        1.5          1    38.7383
 293  -1.07365   -2.57365        1.5          1    38.6932
 294  -1.08181   -2.58181        1.5          1    38.6475
 295  -1.08988   -2.58988        1.5          1    38.6015
 296  -1.09786   -2.59786        1.5          1    38.5571
 297  -1.10577   -2.60577        1.5          1    38.5118
 298   -1.1136    -2.6136        1.5          1    38.4671
 299  -1.12137   -2.62137        1.5          1    38.4233
 300  -1.12909   -2.62909        1.5          1    38.3792
 301  -1.13675   -2.63675        1.5          1    38.3352
 302  -1.14437   -2.64437        1.5          1    38.2922
 303  -1.15194   -2.65194        1.5          1    38.2497
 304  -1.15949   -2.65949        1.5          1    38.2077
 305    -1.167     -2.667        1.5          1    38.1662
 306  -1.17447   -2.67447        1.5          1    38.1239
 307   -1.1819    -2.6819        1.5          1     38.082
 308  -1.18929   -2.68929        1.5          1    38.0404
 309  -1.19662   -2.69662        1.5          1    37.9989
 310  -1.20388   -2.70388        1.5          1     37.958
 311  -1.21107   -2.71107        1.5          1    37.9179
 312  -1.21816   -2.71816        1.5          1    37.8777
 313  -1.22515   -2.72515        1.5          1    37.8384
 314  -1.23201   -2.73201        1.5          1    37.8003
 315  -1.23873   -2.73873        1.5          1    37.7622
 316  -1.24529   -2.74529        1.5          1    37.7252
 317  -1.25168   -2.75168        1.5          1    37.6888
 318  -1.25786   -2.75786        1.5          1    37.6539
 319  -1.26384   -2.76384        1.5          1    37.6194
